sep=,
Tipo,Frequencia
Program,1
EmptyStatement,1
ExpressionStatement,835
CallExpression,1115
MemberExpression,1376
ThisExpression,111
FunctionExpression,136
Identifier,9365
BlockStatement,948
VariableDeclaration,472
FunctionDeclaration,328
IfStatement,337
VariableDeclarator,853
AssignmentExpression,796
LogicalExpression,421
Literal,1290
ArrayExpression,99
UnaryExpression,388
ObjectExpression,49
ConditionalExpression,324
WhileStatement,104
ReturnStatement,556
Property,145
BinaryExpression,761
UpdateExpression,130
TryStatement,2
LabeledStatement,4
ForInStatement,2
SwitchStatement,5
DoWhileStatement,1
CatchClause,2
NewExpression,49
SwitchCase,36
ThrowStatement,13
BreakStatement,9
ContinueStatement,5
SequenceExpression,3
